UID,ALUMINUM_UNITS,COND_UNITS,DOC_UNITS,NITRATE_N_UNITS,NITRITE_N_UNITS,NTL_UNITS,PTL_UNITS,SILICA_UNITS,AMMONIA_N_RESULT,COND_RESULT,DOC_RESULT,NITRATE_N_RESULT,NITRITE_N_RESULT,NTL_RESULT,PH_RESULT,PTL_RESULT,SILICA_RESULT
8193,,uS/cm @ 25C,mg/L,,,mg/L,ug/L,mg/L,0.015,91,12,,,0.76,7.61,49,7.52
8194,,uS/cm @ 25C,mg/L,,,mg/L,ug/L,mg/L,0.015,493,15,,,0.87,6.82,32,0.35
8198,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0089,601,2.24,0.003,0,0.319,8.62,67,30.598
8199,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.015,32,4.01,0.002,0.001,0.431,7.27,16,1.07
8200,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.014,1084,12.69,0,0,0.901,9.06,10,2.28
8201,,uS/cm @ 25C,mg/L,mg N/L,,mg/L,ug/L,mg/L,0.02,129.6,5.4,0.04,,0.74,9,36,2.662
8202,,uS/cm @ 25C,mg/L,mg N/L,,mg/L,ug/L,mg/L,0.03,449,3.65,0.04,,0.39,8.4,17,0.815
8203,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.014,454,6.89,0,0,1.753,8.48,122,7.059
8207,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0048,210,2.59,0,0,0.234,8.13,9,3.585
8217,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0053,51.4,2.92,0.002,0,0.311,7.73,15,4.145
8218,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0065,1246,7.65,0,0,0.571,8.25,37,14.821
8219,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.028,2570,34.49,0.006,0,4.094,8.09,392,45.341
8220,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.64,246,12.56,0.005,0,3.513,8.88,873,14.588
8221,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.037,324,37.5,0,0,12.875,9.64,1156,101.652
8229,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.01,692,5.72,0.208,0,0.993,8.48,267,16.126
8238,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0045,112,2.29,0.002,0,0.286,8.23,9,2.07
8242,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0094,736,6.37,0,0,0.9,8.38,104,34.82
8243,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.022,647,12.07,0,0,4.5,9.45,421,66.577
8245,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.049,4050,20.5,0,0,2.42,8.78,84,12.925
8248,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.028,445,12.25,0,0,4.025,9.36,319,5.512
8249,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.021,1739,13.49,0,0,2.353,8.89,815,54.644
8250,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.042,372,27.07,0,0,3.55,8.56,738,1.7
8251,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.025,82.5,6.41,0.002,0.001,3.888,9.44,882,22.958
