TSN,,Genus,,Species,,Variety
1266,,Calothrix,,adscendens,,
1267,,Calothrix,,donnelli,,
1268,,Calothrix,,juliana,,
1269,,Calothrix,,scytonemicola,,
1270,,Calothrix,,simulans,,
1271,,Calothrix,,stellaris,,
1272,,Calothrix,,caespitora,,
1273,,Calothrix,,thermalis,,
1274,,Rivularia,,,,
1275,,Rivularia,,nitida,,
1276,,Rivularia,,atra,,
1277,,Rivularia,,dura,,
1278,,Rivularia,,globiceps,,
1279,,Rivularia,,haematites,,
127,,Azotobacter,,nigricans,,
1280,,Rivularia,,minutula,,
1281,,Rivularia,,biasolettiana,,
1282,,Rivularia,,compacta,,
1283,,Rivularia,,planktonica,,
1284,,Rivularia,,beccarina,,
1285,,Amphithrix,,,,
1286,,Amphithrix,,violacea,,
1287,,Amphithrix,,janthina,,
1288,,Isactis,,,,
1289,,Isactis,,plana,,
1290,,Raphidiopsis,,,,
1291,,Raphidiopsis,,cuvata,,
1292,,Raphidiopsis,,mediterranea,,
1293,,Gardnerula,,,,
1294,,Gardnerula,,corymbosa,,
1295,,Sacconema,,,,
1296,,Sacconema,,rupestre,,
1297,,Gloeotrichia,,,,
1298,,Gloeotrichia,,pisum,,
1299,,Gloeotrichia,,natans,,
1300,,Gloeotrichia,,echinulata,,
1301,,Gloeotrichia,,longiarticula,,
1302,,Gloeotrichia,,pilgeri,,
1303,,Ammatoidea,,,,
1305,,Ammatoidea,,normannii,,
1307,,Ammatoidea,,yellowstonensis,,
1308,,Homoeothrix,,,,
1309,,Homoeothrix,,juliana,,
130,,Azotobacter,,vinelandii,,
1310,,Homoeothrix,,janthina,,
1311,,Scytonemataceae,,,,
1312,,Plectonema,,,,
1313,,Plectonema,,calothrichoides,,
1314,,Plectonema,,golenkinianum,,
1315,,Plectonema,,terebrans,,
1316,,Plectonema,,nostocorum,,
1317,,Plectonema,,tomasinianum,,
1318,,Plectonema,,battersii,,
1319,,Plectonema,,boryanum,,
1320,,Plectonema,,carneum,,
1321,,Plectonema,,notatum,,
1322,,Plectonema,,phormidioides,,
1323,,Plectonema,,purpureum,,
1326,,Plectonema,,wollei,,
1327,,Diplocolon,,,,
1328,,Diplocolon,,codii,,
1329,,Diplocolon,,heppii,,
1330,,Tolypothrix,,,,
1331,,Tolypothrix,,tenuis,,
1332,,Tolypothrix,,tenuis,,tenuis
1333,,Tolypothrix,,tenuis,,wartmanniana
1334,,Tolypothrix,,distorta,,
1335,,Tolypothrix,,distorta,,distorta
1336,,Tolypothrix,,distorta,,penicillata
1338,,Tolypothrix,,conglutinata,,
1339,,Tolypothrix,,byssoidea,,
1340,,Tolypothrix,,byssoidea,,byssoidea
1341,,Tolypothrix,,byssoidea,,cylindrica
1342,,Tolypothrix,,foreaui,,
1343,,Tolypothrix,,lanata,,
1344,,Tolypothrix,,limbata,,
1345,,Tolypothrix,,ravenelli,,
1346,,Tolypothrix,,rivularis,,
1347,,Tolypothrix,,setchellii,,
1348,,Scytonema,,,,
1349,,Scytonema,,hofmannii,,
134,,Achromobacter,,,,
1350,,Scytonema,,javanicum,,
1351,,Scytonema,,mirabile,,
1352,,Scytonema,,guyanense,,
1353,,Scytonema,,alatum,,
1354,,Scytonema,,arcangelii,,
1355,,Scytonema,,arcangelii,,arcangelii
1356,,Scytonema,,arcangelii,,minus
1357,,Scytonema,,austinii,,
1358,,Scytonema,,carolinianum,,
1359,,Scytonema,,coactile,,
1360,,Scytonema,,crispum,,
1361,,Scytonema,,crassum,,
1362,,Scytonema,,dubium,,
1363,,Scytonema,,insigne,,
1364,,Scytonema,,milleri,,
1365,,Scytonema,,myochrous,,
1366,,Scytonema,,ocellatum,,
1367,,Scytonema,,stuposum,,
1368,,Scytonema,,tolypothrichoides,,
1369,,Scytonema,,viarium,,
1370,,Scytonema,,bohnerii,,
1371,,Scytonema,,fritschii,,
1372,,Scytonema,,rivulare,,
1373,,Coleodesmium,,,,
1374,,Coleodesmium,,wrangelii,,
1375,,Stigonematales,,,,
1376,,Nostochopsidaceae,,,,
1377,,Mastigocoleus,,,,
1378,,Mastigocoleus,,testarum,,
1379,,Mastigocladaceae,,,,
1380,,Brachytrichia,,,,
1381,,Brachytrichia,,maculans,,
1382,,Brachytrichia,,quoyi,,
1383,,Mastigocladus,,,,
1384,,Mastigocladus,,laminosus,,
1385,,Stigonemataceae,,,,
1386,,Albrightia,,,,
1387,,Albrightia,,tortuosa,,
1388,,Thalpophila,,,,
1389,,Thalpophila,,cossyrensis,,
1390,,Stigonema,,,,
1391,,Stigonema,,mamillosum,,
