SITE_ID,EPA_REG,ECO_LEV_3,NUT_REG,ECO_NUTA,LAKE_ORIGIN,ECO3_X_ORIGIN,HUC_2,HUC_8
NLA06608-1867,Region_5,56,VII,VII,NATURAL,PLNLOW NATURAL,5,5120106
NLA06608-1868,Region_6,29,IX,IX,MAN-MADE,PLNLOW MAN-MADE,11,11090202
NLA06608-1871,Region_4,45,IX,IX,MAN-MADE,EHIGH MAN-MADE,3,3150109
NLA06608-1873,Region_10,1,II,II,NATURAL,WMTNS NATURAL,17,17110017
NLA06608-1874,Region_8,19,II,II,MAN-MADE,WMTNS MAN-MADE,16,16020101
NLA06608-1879,Region_8,46,VI,VI,NATURAL,PLNLOW NATURAL,10,10170201
NLA06608-1884,Region_7,47,VI,VI,MAN-MADE,PLNLOW MAN-MADE,7,7080208
NLA06608-1893,Region_9,13,III,III,MAN-MADE,WMTNS MAN-MADE,16,16040109
NLA06608-1894,Region_10,4,II,II,NATURAL,WMTNS NATURAL,17,17070301
NLA06608-1906,Region_1,59,XIV,CPL,MAN-MADE,EHIGH MAN-MADE,1,1090004
NLA06608-1908,Region_5,71,IX,IX,MAN-MADE,EHIGH MAN-MADE,5,5140201
NLA06608-1910,Region_5,50,VIII,VIII,NATURAL,PLNLOW NATURAL,4,4030108
NLA06608-1930,Region_10,12,III,III,MAN-MADE,WMTNS MAN-MADE,17,17040202
NLA06608-1936,Region_7,72,IX,IX,MAN-MADE,PLNLOW MAN-MADE,7,7110009
NLA06608-1948,Region_7,44,IV,IVnat,NATURAL,PLNLOW NATURAL,10,10150004
NLA06608-1953,Region_8,17,II,II,NATURAL,WMTNS NATURAL,17,17010203
NLA06608-1958,Region_10,4,II,II,MAN-MADE,WMTNS MAN-MADE,17,17090001
NLA06608-1959,Region_8,46,VI,VI,MAN-MADE,PLNLOW MAN-MADE,10,10160003
NLA06608-1960,Region_6,40,IX,IX,MAN-MADE,PLNLOW MAN-MADE,11,11070106
NLA06608-1968,Region_8,42,V,V,MAN-MADE,PLNLOW MAN-MADE,10,10050014
NLA06608-1975,Region_7,47,VI,VI,NATURAL,PLNLOW NATURAL,10,10230003
NLA06608-1985,Region_10,15,II,II,NATURAL,WMTNS NATURAL,17,17010303
NLA06608-1989,Region_10,80,III,III,MAN-MADE,WMTNS MAN-MADE,17,17040213
NLA06608-1992,Region_6,33,IX,IX,MAN-MADE,PLNLOW MAN-MADE,12,12030107
NLA06608-1998,Region_5,50,VIII,VIII,NATURAL,PLNLOW NATURAL,4,4030107
NLA06608-1998,Region_5,50,VIII,VIII,NATURAL,PLNLOW NATURAL,4,4030107
NLA06608-2005,Region_10,80,III,III,MAN-MADE,WMTNS MAN-MADE,17,17050104
NLA06608-2007,Region_8,46,VI,VI,NATURAL,PLNLOW NATURAL,7,7020001
NLA06608-2010,Region_4,65,IX,IX,MAN-MADE,PLNLOW MAN-MADE,3,3170007
NLA06608-2027,Region_8,21,II,II,MAN-MADE,WMTNS MAN-MADE,10,10180011
NLA06608-2036,Region_7,47,VI,VI,NATURAL,PLNLOW NATURAL,7,7100008
NLA06608-2037,Region_9,13,III,III,MAN-MADE,WMTNS MAN-MADE,16,16050203
NLA06608-2039,Region_7,47,VI,VI,NATURAL,PLNLOW NATURAL,10,10230003
NLA06608-2049,Region_8,15,II,II,NATURAL,WMTNS NATURAL,17,17010213
NLA06608-2056,Region_7,47,VI,VI,MAN-MADE,PLNLOW MAN-MADE,7,7100008
NLA06608-2072,Region_6,33,IX,IX,MAN-MADE,PLNLOW MAN-MADE,12,12020001
NLA06608-2074,Region_4,75,XII,CPL,MAN-MADE,PLNLOW MAN-MADE,3,3120003
NLA06608-2076,Region_6,37,IX,IX,MAN-MADE,EHIGH MAN-MADE,11,11110204
NLA06608-2078,Region_5,50,VIII,VIII,NATURAL,PLNLOW NATURAL,4,4030107
NLA06608-2082,Region_10,78,II,II,MAN-MADE,WMTNS MAN-MADE,17,17100308
NLA06608-2086,Region_1,58,VIII,VIII,NATURAL,EHIGH NATURAL,1,1110000
NLA06608-2087,Region_8,46,VI,VI,NATURAL,PLNLOW NATURAL,10,10160010
NLA06608-2091,Region_4,65,IX,IX,MAN-MADE,PLNLOW MAN-MADE,3,3150107
NLA06608-2092,Region_6,73,X,CPL,MAN-MADE,PLNLOW MAN-MADE,8,8050001
NLA06608-2094,Region_6,33,IX,IX,MAN-MADE,PLNLOW MAN-MADE,12,12100101
NLA06608-2095,Region_8,18,III,III,MAN-MADE,WMTNS MAN-MADE,14,14040104
NLA06608-2103,Region_8,42,V,V,NATURAL,PLNLOW NATURAL,10,10130105
NLA06608-2114,Region_3,69,XI,XI,MAN-MADE,EHIGH MAN-MADE,5,5020006
NLA06608-2117,Region_4,75,XII,CPL,NATURAL,PLNLOW NATURAL,3,3080102
NLA06608-2120,Region_6,29,IX,IX,MAN-MADE,PLNLOW MAN-MADE,12,12060201
NLA06608-2123,Region_8,46,VI,VI,NATURAL,PLNLOW NATURAL,10,10170201
NLA06608-2131,Region_8,42,V,V,NATURAL,PLNLOW NATURAL,10,10130106
NLA06608-2134,Region_10,3,I,II,MAN-MADE,WMTNS MAN-MADE,17,17080002
NLA06608-2135,Region_8,46,VI,VI,NATURAL,PLNLOW NATURAL,7,7020003
NLA06608-2152,Region_7,39,XI,XI,MAN-MADE,EHIGH MAN-MADE,10,10290107
NLA06608-2154,Region_4,65,IX,IX,MAN-MADE,PLNLOW MAN-MADE,3,3140304
NLA06608-2155,Region_5,56,VII,VII,NATURAL,PLNLOW NATURAL,4,4050001
NLA06608-2162,Region_1,59,XIV,CPL,NATURAL,EHIGH NATURAL,1,1090005
NLA06608-2170,Region_8,42,V,V,NATURAL,PLNLOW NATURAL,10,10030102
NLA06608-2177,Region_8,15,II,II,NATURAL,WMTNS NATURAL,17,17010210
NLA06608-2185,Region_9,13,III,III,MAN-MADE,WMTNS MAN-MADE,16,16050302
NLA06608-2187,Region_4,68,XI,XI,MAN-MADE,EHIGH MAN-MADE,3,3160112
NLA06608-2193,Region_10,1,II,II,NATURAL,WMTNS NATURAL,17,17100106
NLA06608-2196,Region_5,71,IX,IX,MAN-MADE,EHIGH MAN-MADE,5,5120202
NLA06608-2217,Region_9,23,II,II,MAN-MADE,WMTNS MAN-MADE,15,15020008
NLA06608-2219,Region_5,56,VII,VII,MAN-MADE,PLNLOW MAN-MADE,7,7120001
NLA06608-2241,Region_10,15,II,II,NATURAL,WMTNS NATURAL,17,17010308
NLA06608-2250,Region_8,17,II,II,NATURAL,WMTNS NATURAL,17,17040101
NLA06608-2253,Region_3,63,XIV,CPL,MAN-MADE,PLNLOW MAN-MADE,2,2040207
NLA06608-2257,Region_10,2,II,II,NATURAL,WMTNS NATURAL,17,17110019
NLA06608-2266,Region_8,43,IV,IVman,MAN-MADE,PLNLOW MAN-MADE,10,10090205
NLA06608-2267,Region_5,56,VII,VII,NATURAL,PLNLOW NATURAL,4,4050001
NLA06608-2283,Region_5,56,VII,VII,NATURAL,PLNLOW NATURAL,5,5120106
NLA06608-2305,Region_10,15,II,II,NATURAL,WMTNS NATURAL,17,17010214
