TSN,,Genus,,Species,,Variety
203856,,Raphidiophrys,,pallida,,
203857,,Acanthocystis,,chaetophora,,
203858,,Acanthocystis,,nyriospina,,
203859,,Microthorax,,bidentatus,,
203860,,Loxophyllum,,helus,,
203861,,Chilodonella,,acuta,,
203862,,Chilodonella,,paramecium,,
203863,,Monochilum,,elongatum,,
203864,,Pleuronema,,crassum,,
203865,,Pleuronema,,marinum,,
203866,,Cristigera,,phoenix,,
203867,,Cristigera,,pleuronemoides,,
203868,,Vorticella,,striata,,
203869,,Urostyla,,muscorum,,
203870,,Aspidisca,,herbicola,,
203871,,Aspidisca,,turrita,,
331679,,Favella,,companula,,
331686,,Leprotintinnus,,nordqvisti,,
331687,,Tintinnopsis,,nana,,
331688,,Tintinnopsis,,uruguayensis,,
331689,,Tintinnopsis,,gracilis,,
331690,,Favella,,taraikaensis,,
331691,,Eutintinnus,,lususundae,,lususundae
331692,,Eutintinnus,,lususundae,,turgescens
331709,,Codonellopsis,,,,
331710,,Codonellopsis,,nipponica,,
43780,,Protozoa,,,,
43781,,Sarcomastigophora,,,,
43782,,Mastigophora,,,,
43784,,Phytomastigophora,,,,
43785,,Chrysomonadida,,,,
43786,,Euchrysomonadina,,,,
43787,,Rhizochrysidina,,,,
43788,,Chrysocapsina,,,,
43789,,Silicoflagellida,,,,
43790,,Coccolithophorida,,,,
43791,,Heterochlorida,,,,
43792,,Cryptomonadida,,,,
43793,,Dinoflagellida,,,,
43794,,Adinina,,,,
43795,,Diniferina,,,,
43796,,Cyrtolophosidiidae,,,,
43797,,Cyrtolophosis,,,,
43798,,Cyrtolophosis,,elongata,,
43799,,Ebriida,,,,
43800,,Cercomonadidae,,,,
43801,,Cercomonas,,,,
43802,,Cercomonas,,laciniaegerens,,
43804,,Euglenida,,,,
43805,,Euglenina,,,,
43806,,Peranematina,,,,
43807,,Petalomonadina,,,,
43808,,Chloromonadida,,,,
43809,,Volvocida,,,,
43810,,Zoomastigophora,,,,
43811,,Choanoflagellida,,,,
43812,,Bicosoecida,,,,
43813,,Rhizomastigida,,,,
43814,,Kinetoplastida,,,,
43815,,Bodonina,,,,
43816,,Bodinidae,,,,
43817,,Bodo,,,,
43818,,Bodo,,caudatus,,
43819,,Bodo,,alexeieffii,,
43820,,Bodo,,amoebinus,,
43821,,Bodo,,angustus,,
43822,,Bodo,,celer,,
43823,,Bodo,,designis,,
43824,,Bodo,,edax,,
43825,,Bodo,,globosus,,
43826,,Bodo,,lens,,
43827,,Bodo,,minimus,,
43828,,Bodo,,mutabilis,,
43829,,Bodo,,obovatus,,
43830,,Bodo,,parvus,,
43831,,Bodo,,putrinus,,
43832,,Bodo,,trinagularis,,
43833,,Trypanosomatina,,,,
43834,,Retortamonadida,,,,
43835,,Diplomonadida,,,,
43836,,Oxymonadida,,,,
43837,,Trichomonadida,,,,
43838,,Monocercomonadidae,,,,
43839,,Dientamoeba,,,,
43840,,Dientamoeba,,fragilis,,
43841,,Histomonas,,,,
43842,,Histomonas,,meleagridis,,
43843,,Hypermastigida,,,,
43844,,Lophomonadina,,,,
43845,,Trichonymphina,,,,
43846,,Opalinata,,,,
43847,,Opalinida,,,,
43848,,Sarcodina,,,,
43849,,Rhizopoda,,,,
43850,,Lobosa,,,,
43851,,Amoebida,,,,
43852,,Amoebidae,,,,
43853,,Amoeba,,,,
43854,,Amoeba,,proteus,,
43855,,Amoeba,,discoides,,
43856,,Amoeba,,dubia,,
43857,,Amoeba,,gorgonia,,
43858,,Amoeba,,guttula,,
43859,,Amoeba,,limicola,,
43860,,Amoeba,,radiosa,,
43861,,Amoeba,,spumosa,,
43862,,Amoeba,,striata,,
43863,,Amoeba,,verrocosa,,
43864,,Amoeba,,vespertilio,,
43865,,Trichamoeba,,,,
43866,,Trichamoeba,,cloaca,,
43867,,Trichamoeba,,myakka,,
43868,,Trichamoeba,,villosa,,
43869,,Chaos,,,,
43870,,Chaos,,carolinense,,
43872,,Chaos,,illinoisense,,
43873,,Stygamoeba,,,,
43874,,Stygamoeba,,polymorpha,,
43875,,Metachaos,,,,
43876,,Metachaos,,discoides,,
43877,,Metachaos,,gratum,,
43878,,Hydramoeba,,,,
43879,,Hydramoeba,,hydroxena,,
43880,,Polychaos,,,,
43881,,Polychaos,,dubium,,
43882,,Polychaos,,nitidubium,,
43883,,Paramoebidae,,,,
43885,,Mastigamoeba,,,,
43886,,Mastigamoeba,,simplex,,
43887,,Mastigamoeba,,longifilum,,
43888,,Paramoeba,,,,
43889,,Paramoeba,,perniciosa,,
43890,,Mastigamoebidae,,,,
43891,,Dimastigamoeba,,,,
43892,,Vahlkampfidae,,,,
43893,,Vahlkampfia,,,,
43894,,Vahlkampfia,,limax,,
43895,,Naegleria,,,,
43896,,Naegleria,,fowleri,,
43897,,Pelomyxidae,,,,
43898,,Pelomyxa,,,,
43899,,Pelomyxa,,palustris,,
43900,,Acanthamoebidae,,,,
43901,,Acanthamoeba,,,,
43902,,Acanthamoeba,,castellanii,,
43903,,Acanthamoeba,,hyalina,,
43904,,Entamoebidae,,,,
43905,,Entamoeba,,,,
43906,,Entamoeba,,gingivalis,,
43907,,Entamoeba,,histolytica,,
43908,,Entamoeba,,polecki,,
43909,,Entamoeba,,hartmanni,,
43910,,Entamoeba,,coli,,
43911,,Entamoeba,,bovis,,
43912,,Dobellina,,,,
43913,,Dobellina,,mesnili,,
43914,,Martinezia,,,,
43915,,Martinezia,,baezi,,
43916,,Endamoeba,,,,
43917,,Endamoeba,,blattae,,
43918,,Endamoeba,,lutea,,
43919,,Endamoeba,,similans,,
43920,,Cytamoeba,,,,
43921,,Cytamoeba,,bacterifera,,
43922,,Janickina,,,,
43923,,Janickina,,pigmentifera,,
43924,,Iodamoeba,,,,
43925,,Iodamoeba,,buetschlii,,
