"SITEID_12","SITEID_07","LAT_DD","LON_DD","LakeArea","LakeDepth","LakePerim","LakeEleva","HUC2","HUC8","ECO3","ECO3_2015","EPA_REG","Cond","DOC","NTL","PTL","Silica","pH","Temp","Sol"
"NLA12_UT-165","NLA06608-3177",38.04946334,-111.6019686,136.7945031,1.3,6.25032275,3070.67,14,14070005,19,19,"Region_8",35.1,6250,641,41,211,7.6,14.94,6.55705882352941
"NLA12_UT-167","",39.36385445,-110.8011068,6.68675818,1,1.158992453,1706.69,14,14060007,20,20,"Region_8",492,5910,473,27,9818,9.07,21.05,6.5581045751634
"NLA12_UT-169","",39.20473742,-111.6689123,24.78430491,4.2,2.086870338,1789.79,16,16030004,19,19,"Region_8",400,2020,211,23,7135,8.68,20.2307692307692,6.52692810457516
"NLA12_UT-173","",37.25249786,-113.7781188,100.9644955,14,8.077036293,1085.17,15,15010008,13,13,"Region_8",430,2290,163,36,28073,8.5,19.55,7.02529411764706
"NLA12_UT-186","",38.23508748,-112.4630091,9.624289004,3.7,1.137004195,2680.67,16,16030007,19,19,"Region_8",75.5,3050,428,118,32004,7.83,17.0771794871795,6.68006535947712
"NLA12_UT-196","",39.70682362,-111.2933692,31.45108714,4.1,3.577706571,2568.97,14,14060007,19,19,"Region_8",205,2860,266,17,2186,8.69,18.5657142857143,6.52692810457516
"NLA12_UT-203","",40.58885713,-111.5899784,8.964948567,11,1.297506355,2909.22,16,16020204,19,19,"Region_8",58.8,1630,114,6,3312,7.68,11.7864102564103,6.54967320261438
"NLA12_UT-210","",38.78818748,-111.7748779,6.736780077,8.4,1.387397027,2203.2,16,16030003,19,19,"Region_8",383,3530,283,51,29008,8.57,13.8457692307692,6.55705882352941
"NLA12_UT-218","NLA06608-4923",40.4581066,-111.4811121,1023.71804,20,31.29326618,1651.98,16,16020203,19,19,"Region_8",384,2790,230,28,5752,8.54,19.6641025641026,6.54967320261438
"NLA12_UT-222","",38.62493587,-112.4333455,48.53105047,2.2,4.732111137,2083.19,16,16030003,19,19,"Region_8",407,13220,1466,83,15711,9.04,20.5435897435897,6.68006535947712
"NLA12_UT-229","",40.88926752,-109.8461084,32.45693843,5,3.388750733,2622.67,14,14040106,19,19,"Region_8",78.6,6390,424,37,10566,8.06,14.7102564102564,0.0447058823529412
"NLA12_UT-260","",39.14241052,-111.452546,27.85638716,4.3,2.298502128,2889.45,14,14060009,19,19,"Region_8",344,3070,285,21,3416,8.74,14.9461538461538,6.52692810457516
"NLA12_UT-264","",38.07061898,-111.3751268,11.22871745,8,1.900068059,3074.1,14,14070003,19,19,"Region_8",69.9,1890,511,104,22658,8.96,11.9141025641026,6.55705882352941
"NLA12_UT-290","",40.8739496,-109.1483089,12.12835629,1.8,1.483442162,1652.82,14,14040106,18,18,"Region_8",627,5350,849,66,9755,8.08,16.1025641025641,0.0447058823529412
"NLA12_UT-294","",40.75243409,-111.7195606,35.07400135,13,4.490044195,1677.52,16,16020204,19,19,"Region_8",673,1940,140,24,12999,8.37,19.5119230769231,6.54967320261438
"NLA12_UT-324","",40.67460225,-110.9706993,39.42804792,16,2.721133747,3043.48,16,16020203,19,19,"Region_8",15.95,3050,220,19,1403,7.13,8.3375641025641,6.38176470588235
"NLA12_UT-325","",40.9060993,-111.5911941,266.0559395,33,16.67017239,1738.93,16,16020102,19,19,"Region_8",776,3040,310,31,4069,8.36,9.09243589743589,6.54967320261438
"NLA12_UT-343","",40.9225409,-110.1185889,69.39431051,4.9,3.570104763,2803.81,14,14040106,19,19,"Region_8",40.8,7570,1005,85,4590,7.38,12.0853846153846,6.38176470588235
"NLA12_UT-359","",40.35063701,-109.941191,42.4906927,1.2,4.54496977,1632.53,14,14060003,20,20,"Region_8",804,12350,3250,542,24337,9,15.5167948717949,0.0447058823529412
"NLA12_UT-374","",39.10008113,-111.2003351,151.3345341,16,9.437130079,1894.31,14,14060009,20,20,"Region_8",484,2170,211,25,5311,8.6,18.6782051282051,6.52692810457516
